______ and ______: may they never meet.,#MeToo
______ and loneliness are a dangerous combination.,"#occupy or #octopi, whichever"
______ are out to get me.,#YOLO.
______ be all like ______.,|Getting so angry that you pop a boner.
______ bought 100 million rounds of ammunition last year because of ______.,|Oral sex that tastes like urine.
______ brings all the boys to the yard.,∩ (O_O) ∩
______ broke six of my ribs.,$1.25 per day
______ builds trust between friends.,$10 bills defaced with anarchist propaganda.
______ burns 360 calories per hour.,"$10,000 worth of silica gel."
______ can be too much of a good thing.,$13 worth of Taco Bell
______ can help any relationship,$15 minimum wage.
______ can help any relationship.,"$16,000 in cash, a kilo of hashish, and eight belly dancers."
______ can save you 15% or more on car insurance.,$2 beer pitcher night at the base bowling alley.
______ clearly places this cluster fuck of a mission in the red.,$20 Tinnies
______ created a new sexual position that involves liberal use of _______,"$20,000 trip from Honduras to Texas hiding in the back of the troka."
"______ don’t want none unless you got buns, hon.",$200/hour
______ fixed the Church after the mess that was the 1970's.,$300 worth of vanilla yogurt.
______ For Dummies is actually the best-selling book in the series.,$68 in pennies.
______ fun for the whole family!,1 weird trick that will make everyone around you ejaculate
______ gave me a really bad reputation in middle school.,1.2 pounds of shit hitting a fan.
______ gave me AIDS.,10 bucks
______ gave me my very first orgasm.,10 feet of snow in 2 days.
______ gets me all hot and bothered.,10 football players with erections barrelling towards you at full speed.
______ gets me the most likes on Instagram.,10 Incredible Facts About the Anus.
______ gives Dad bad gas.,10 minute sof decent sex.
______ got kicked out of the local Stitch and Bitch group for ______.,10 pounds of crap in a 5-pound bag
______ got me banned from the Liberty Lounge for life.,"10,000 shrieking teenage girls."
______ had me bedridden for months.,"10,000 Syrian refugees."
______ has become part of my daily routine.,"10,800 barrels of beer"
______ has been scientifically proven to cause cancer.,100 beachfront acres of shimmering white privilege.
______ has lasted longer than a Married at First Sight Relationship,100 foreskins in a bucket
______ has me questioning my life choices.,100 percent Chinese ties.
______ has taken more lives than Hitler and smoking combined.,100 pounds of bull semen
______ has taken over _____ in the service of Great Cthulu.,100 tons of Mafia concrete.
______ helps Parish priests relax.,100 wheelchair-bound children rolling around in the back of a C-5.
______ in your car triples your chance of being pulled over.,"100,000 dollars, alcohol, and 4 weeks of vacation."
______ invented time travel.,100% accurate gaydar.
______ is a bad idea. The More You Know …,100% All-Beef Thermometer.
______ is a dying art form.,100% certified human breast milk.
______ is a f**king nihgtmare!,100% hearthfelt compassion.
______ is a great way to look and feel younger.,100% Pure New Zealand.
"______ is a healthy meal, right?",12-hour Netflix marathons
______ is a relationship deal-breaker for me.,"12,000 ants."
______ is a slippery slope that leads to ______.,"14 cheeseburgers, 6 large fries, and a medium Sprite."
______ is a sure sign of mankind's decline.,"144,000 lbs. of cheese"
______ is a surprisingly tasty pizza topping.,15 wild badgers living in my trousers.
______ is a timeless symbol of parenthood.,16 years of service and my pay still sucks.
______ is a well-known sign of virility.,172 thumbtacks
______ is actually pretty hot.,18 books on how to fail as a parent
______ is basically the story of my life.,1am drink requests
"______ is by far the most important item in the ""Fresh Out of Boot Camp"" starter pack.",1st Degree Murder
______ is considered a compliment in most of Europe.,1st grade social calendars
______ is covering up the zombification of the population of Kansas.,1st place in the talent show
______ is Daddy's job.,1st Sgt's second ex-wife.
______ is even tastier when it is covered with ______.,2 girls 1 cockroach
______ is finger licking good.,2 Girls 1 Cup.
______ is getting rich smuggling ______.,2.5 kids.
______ is going to make me rich!,2% Milk
______ is in the mystery meat.,20 fuckin whacks…
______ is just showing off.,20 pieces of sweet Chicken McNugget goodness.
"______ is many things to many people, as you will see and learn.",20 years of paid maternity leave
______ is merely a puppet of _______.,"20,000 Leagues Under the Sea™"
______ is my co-pilot.,200 lusty seamen on shore for just one night
______ is my motivation.,200 years of slavery.
______ is my way of giving back to the community.,20g of street tik
______ is no stranger to an AGE Ranger!,20g of Street tik.
______ is no way to go through life. Kid.,23-star Sheriff David Clarke.
______ is not reimbursable.,24-hour media coverage.
______ is now the emperor of ______.,25 shitty jokes about House of Cards.
______ is our new performance indicator.,27 tonnes of 1080 pellets
"______ is rare. If you find it, keep it.",27 tonnets of 1080 pellets
______ is reporting to Putin right now.,2nd child issues
______ is subverting the natural order with _______.,3 Dimensional spatial awarness.
______ is the active ingredient in cigarettes.,3 egg omelettes.
______ is the best birth control.,3 positive pregnancy tests and still not convinced
______ is the best indication why Asians are such bad drivers.,3 veiny Triumphant black dicksTongue punching Donald Trump`s turd tunnel
______ is the best thing since ______.,3.7 billion women.
______ is the best way to avoid volunteering for the PTA.,3.7 billion years of evolution.
______ is the gift that keeps on giving.,3.9 billion years of evolution.
______ is the key to a healthy lifestyle,"3/4th ounce of bitters, another 3/4th ounce of bitters, yet another 3/4th ounce of bitters, 3 ounces of orange bitters, 3 ounces of gin in a tall glass over ice. Garnish with an orange slice and tears."
______ is the key to recovery.,30 grown adults crawling around on all-fours.
______ is the leading cause for blindness in white males.,30 shirtless bears emerging from the fog.
______ is the moment my kid lost their innocence.,"300 days of sunshine, 365 days of white people."
______ is the new ______.,33 year old grandmothers in West Auckland
______ is the new black according to everyone.,38-Double Ds
______ is the new spokesperson for ______.,380 grams of heroin.
______ is the next development panacea.,39 frozen Vietnamese immigrants.
______ is the only thing more patriotic than Master Chief Carl Brashear's prosthetic leg.,3d Cavalry Regiment's drivers training program.
______ is the only thing that gets me out of bed in the morning.,3D printed sex toys.
______ is the secret ingredient in Coca-Cola®.,4 wraps of heroin
______ is the secrt ingredient in Grandma's famous pies.,40 acres and a mule.
______ is the tool of ______ to reduce world population.,400 years of colonial atrocities.
______ is totally acceptable. If you're a freak.,41 million Americans living in poverty.
______ is wasted on the youth.,42 Happy Meal toys
______ is way better in ______ mode.,48 hour labor
______ is way too much responsibility for me.,5 de Mayo celebrations.
______ is well-known for professional-looking ______.,50 bullets dipped in pig's blood.
______ is what is ruining this country.,50 dollars' worth of cereal.
______ is why I am a failure as a parent.,50 mg of Zoloft daily.
______ is why I can never run for PTA president.,50 Shades of Haze Gray.
______ is why I have gray hair now.,50 Shades of Off-White.
______ is why I need feminism.,50 skeins of acrylic yarn.
______ is why I'm not a chaperon.,"50,000 volts straight to the nipples."
______ is why we can't have nice things.,500 hours of court-ordered community service.
______ is worse than ______.,500 sporks
______ is worse than stepping on a Lego.,6 year old with a smartphone
______ is/are the New Evangelization.,6-inch heels
"______ isn't illegal, right?",63 new messages saying either “Hay” or “Wanna fuck?”
______ keeps me from prayer.,64 slices of American cheese.
______ kills about 450 people in the United States a year.,69ing
______ kills the mood every time.,69ing a dirty vagina.
______ led me to ______.,69ing at the bottom of a Burger King ball pit
______ led me to believe ______ was morally wrong.,7 Blows with a crowbar on the uppper lip.
______ made me rethink my sexual orientation.,"7 shoes, no pairs"
______ made my moneyshot twice as powerful.,70 Year Old Prostitute(s)
"______ makes ""Insert Name"" scream at the top of his/her lungs.",70-year-olds who are in better shape than me
______ makes a questionable gift for your parents.,"70,000 gamers sweating and farting inside an airtight steel dome."
______ makes me feel like the most desirable person in the world.,70's bush.
______ makes me have to shit SO BAD!,70's porn complete with a hairy bush.
______ makes your PFT score go down faster than a Thai hooker during Cobra Gold!,72 virgins and 1 mission.
"______ may pass, but ______ will last forever.","72 Virgins, all of whom are babies."
"______ melts in your mouth, not in your hand.",72 virgins.
______ mesmerized the audience by reading a poem about _______.,8 oz. of sweet Mexican black-tar heroin.
______ now comes free with a Happy Meal.,"8-year olds, dude."
______ now Gluten Free!,"8,000 baby blankets"
______ Plesurable. But Dangerous.,8=======D
"______ puts tranquilizers in the canned beer, because of ______.",8th Grade and Pregnant.
______ ran for president on a strong platform of using ______ as a national defense.,9 inch dildo
______ reminds me of my ex.,9/11 was an inside job.
______ ruins everything.,9/11: Forgive and forget.
______ says I don't need to share my ______.,9/11.
"______ shaped my childhood, making me the person I am today.",93-year-old virgin voters.
______ should be a human right.,939 Million 3000 and 60000 members
______ should be grounds for a national holiday.,99 bottles of beer
______ should be taught in schools.,"A .50 cal round tearing through 3 torsos, 2 heads, and a hotdog cart."
______ showed us that ______ is a great homemade hangover remedy.,"A ""Get Well Soon!"" balloon from Paul Ryan."
______ spent their big Vegas winnings on a crazy amount of _____.,"A ""Happy Valentine's Day"" Card from AshleyMadison.com."
______ sponsored by Crystal Meth.,"A ""hardly noticeable"" herpes sore"
______ stole my bike!,"A ""high speed"" specialist saving the 237th Sapper Co. from a disastrous mixture of live rounds and blanks."
______ tastes like chicken according to 7 out of 10 albinos.,"A ""not stolen"" Holden Commodore"
______ told me to bring ______ to the church picnic.,"A ""personal massager"""
______ tried to suppress this game!,"A ""Proud Parent of Cannon Fodder"" bumper sticker."
______ used ______ to stop the terrorist attack.,"A ""Trump Teens Pedicure Sundae."""
______ used the time machine to corner the market on ______.,"A ""World's Biggest Asshole"" trophy"
______ was found with ______ in the church graveyard.,A “boudoir-style” photoshoot that turns into something else.
"______ was fun, but then she woke up.",A “business trip.”
______ was my old college nickname.,"A $1,000 check from Cards Against Humanity!"
______ was notably absent from the stripper convention this year.,a $100 plaid shirt
______ was the cause of the Holocaust.,A $19.99 do it yourself wedding
______ was the reason I got reverted at Camp May.,"A $2,000 enlistment bonus that definitely wasn't worth it."
______ was totally worth the trauma.,A $20 bill with Harriet Tubman's face on it.
______ will always get you laid in Toronto,A $300 banana suit.
______ will attempt to destroy the Navy. ______ will ensure that threat is defeated.,A $50 cup of coffee literally made from cat shit.
______ will be the downfall of Western Civilization.,"A $90 million, full-size replica of Noah's Ark."
______ will cripple the Marine Corps. ______ will save it.,A 0.7 waist-to-hip ratio.
______ will get you a one-way ticket to Poundtown.,A 10 pount jar of ointment.
______ will make anyone seem more attractive.,A 10-minute shit on company time.
______ will make you sterile.,A 100-pound teenager who thinks she's fat.
______ will never be the same after ______.,A 103° fever.
______ will win you the Mom of the Year award every time.,"A 12 inch dick, a dozen roses, and a pick-up truck"
______ with _______ always bring a smile to my face!,A 12 pack of Cody's
______ won the talent show by putting a whole ______ in their mouth.,a 12 year old
______ works in mysterious ways.,A 12-foot scepter of bone.
______ would be woefully incomplete without ______.,"A 15 minute blowjob… No more, no less."
______ would only happen in my worst nightmares.,"A 15-6 investigating the pathetic, plodding death of your career."
______ x ______ = ______,A 15-minute time-out in the Naughty Corner.
_______ - the incredible new documentary series narrated by David Attengborough.,A 15-yard penalty for excessive sue of the First Amendment.
"_______ guaranteed, or your money back!",A 15cm long dick.
_______ only hurts the first time around,A 1970's bush.
_______ really ruined PrideFest for me this year.,A 1987 Ford Fiesta
_______ The root cause of aids,A 2 EPR that was truly deserved.
________ + ________ makes me extra horny.,A 20 piece chicken nugget meal for one person
________ doesn’t count as cheating.,A 20+ year age gap between you and your partner.
________ helps me achieve inner peace.,a 24 percent equity stake in reality.
________ is the best part of the newlywed stage.,A 28 week abortion.
________ keeps me awake at night.,a 3 hour boner
________ makes for good foreplay!,A 3-1/2 pound shit baby.
________ makes my mouth water!,A 3-foot tapeworm
________ tends to run in my family.,A 3-hour SECRET flight brief for a 45-minute flight. #WasteMyFuckingTime
________ turns me on!,A 3-year-old nudist
_________ - it's gonna be huge!,A 30 thousand dollar millionaire.
_________ baby _________ (repeat)!,"A 300 horsepower, turbo charged vibrator."
_________ for a more hopeful America.,A 300-lb dresses as Princess Leia
_________ for American families.,A 34-hour SAR mission.
_________ gives me the chills.,A 4 lb. turd log splash that causes blue shitter water to coat your ass cheeks.
_________ hit me right in the feels.,A 40 year old scotch and a 10 year old girl
_________ improves over time.,a 40 year old virgin
_________ is all I need to make the tough decisions.,A 45 percent tariff on free speech.
_________ is better than summer vacation.,A 48-year-old specialist who enlisted under mysterious circumstances.
_________ is Hillary's Watergate.,A 5 lb. bag of gummy bears.
_________ is in bed with Wall Street.,A 5-gallon bucket of used condoms.
_________ is my fave emoticon.,A 5-speed shower nozzle
_________ is my secret favorite thing to do when no one is looking.,a 50 cent mix from the dairy
_________ is my true passion in life.,A 50 Shades of Grey sex party.
_________ is so awkward at a sleepover.,A 50% divorce rate.
"_________ is the law of the land, deal with it.",A 55-gallon drum of lube.
_________ is the one thing that would drive me crazy enough to push the button.,A 6-hour conversation on gender and queer theory.
_________ is the real reason Trump declared bankruptcy 4 times.,a 6-pack
_________ is the reason for my pass request.,A 6-pack of Red Bull
_________ is the reason we constantly have safety briefs.,A 7-Eleven clerk coming off a three-day shift
_________ is the secret to world peace.,A 7-year-old pageant contestant
_________ is the subject of Bill Clinton's new book.,A 70 y/o woman wearing a neon Stephen West shawl.
_________ is what Basic Training is all about.,A 70-year-old gut truck driver exchanging snacks for hand jobs.
_________ is what haunts my dreams at night!,A 70s porn star bush
_________ is/are like roaches - you can't kill them,A 8-foot-tall walking carpet.
_________ is/are not the same thing by any stretch of the imagination as (a) _________.,A 9 ft tall sergeant major with titanium robot legs.
_________ is/are Trump's greatest secret to great hair.,A 9-month denial period
_________ killed my pet goldfish.,A 9/11 truther.
_________ led me to receive an Article 15.,A 98-year-old WWII Vet who still hates the Japanese.
_________ makes me have nightmares.,A absurd build up of smegma under the foreskin
_________ should be the start of the conversation on how we can improve as a society.,A awkward family dinner.
_________ this weekend is going to really piss off Sarge.,A babbling idiot.
_________ was my nickname at Yale.,A babe in the woods
_________ was the strangest thing I've seen in the US military.,a baboon's blood
_________ will cause a blistering argument with Vladimir Putin.,A baby bath shaped like a uterus
_________ won my vote.,A Baby Bjorn.
_________ would really make the world a better place.,A baby boomer.
____________ doesn’t count as cheating.,A baby carrier.
_______________ of Unusual Size? I don't believe in them.,A baby daddy.
________________? Jim’ll fix it!,"A baby dressed as the Pope,"
_______________. Is THAT what they're calling it these days…,A baby in a weiner costume
"_______________. It's no oxycontin, but it will get you through the morning.",A baby orangutan
_______________. It's not just for breakfast any more.,A baby panda that just can't keep its eyes open.
______________. That’s why mums go to Iceland.,A baby pigeon.
"_____________. Once you pop, the fun don’t stop!",A baby registry filled with nothing but elaborate bongs
____________. A sure-fire cure for the seven-year itch.,A baby seat for your motorcycle
___________. A wedding gift you’ll cherish forever.,A baby sling made out of martini glasses
__________: grounds for divorce in all 50 states.,A baby that smokes and plays the ukulele
"__________. It's not just a good idea, it's the law.",A baby with a full mustache.
_________-flavored ice cream.,A baby.
"_________, it's gonna be YUGE.",A baby's soiled diapers
"_________, you're fired.",A Bach with an empty beer fridge
_________: A Holiday Tradition,A bachelor's degeree in communications.
_________: Sadly no longer a 10.,A bachelor's degree in communication.
_________: The truth about Benghazi.,A bachelorette party blackout love child
_________.,A back alley blow job
_________. It's finger lickin' good!,A back alley C-section
_________. Just abort it.,A back-alley abortion from a Mexican cyborg doctor.
_________. Never again!,"A back, sack and crack wax"
_________. The solution for women.,a backdoor slider
_________. These things happen.,A backside grind
_________.com is the new name for JebBush.com.,a backstabbing cockblocker
_________(s) should never be allowed in America.,A backstreet abortion with a coat hanger and a cooking whisk
________-the best way to _______,A bacon cheeseburger.
________: grounds for divorce in all 50 states.,A bad blood-to-stool ratio
________. A sure-fire cure for the seven year itch.,a bad boob job
________. A wedding gift you’ll cherish forever.,a bad boy who needs a good spanking
________. My Spirit Animal.,a bad boy who peed all over the house
_______-the best way to offend a feminist,A bad hair day.
_______-the only way to solve Brexit,A bad report card.
_______-the UK`s most common cause of unauthorised absence from work,a bad-ass clown
"_______, a failure of the S.U.N.Y. education system.","A badass maroon beret that gets all the pussy. How much pussy, bro?!? ALL the pussy!"
_______: about as useful as a one-legged man in an ass kicking contest.,a bag full of cats
_______? No.,a bag of coke
_______. Awesome!,A Bag of Dicks
"______,  For the person who has everything.",A bag of dicks.
"______, a near occasion of sin.",A bag of doorknobs.
"______, I can yarn bomb that.",A bag of hammers.
"______, I choose you!",A bag of magic beans.
"______, it's even worse that a poopy diaper!",A bag of pickled socks.
"______, it's what Elizabeth Zimmerman would do.",A bag of tainted shrimp
"______, it's what happens at SNB.",A Bag Stuffed With Mystery Meat
"______, just for a second.  Just to see how it feels.",a bait and switch
"______, or as I like to call it, ______.",A balanced breakfast.
"______, that's why I got married.",A bald eagle named Small Government.
"______, the newest My Little Pony character.",A balding sergeant first class with a terrible comb over.
"______, the number one reason for staying chaste.",A ball gag
"______, there's a cream for that.","A ball of earwax, semen, and toenail clippings."
"______, yeah right.",A ball pit filled with elephant testicles.
"______, you da real MVP.",A ball pit filled with testicles.
______:  A solution in search of a problem.,A ball-clinching Swiss seat.
______: A surprising favorite at the Houston Rodeo this year.,A banana and two cherries.
______: Achievement unlocked.,A banana hammock
______: Ain't nobody got time for that!,"A banana.  You know, for scale."
______: American's favorite Broadway musical,A Band-Aid fetish
______: an important prenatal yoga practice.,A Band-Aid obsession
______: Best when a little bit sweaty.,a bank loan application
"______: boil 'em, mash 'em, stick 'em in a stew!",A banter tampon.
"______: Boil 'em, mash 'em, stick 'em in a stew.",A bar full of guys wearing plaid.
______: Brought to you by ______.,a barber's chair that fits all buttocks
______: Evidence that this is the darkest timeline.,a barf bucket
______: fun for the whole family!,A barf smoothie
______: good to the last drop.,A barracks bunny.
______: Has science gone too far?,A barracks room covered in layers of black mold.
______: Hours of fun. Easy to use. Perfect for ______!,A Barrel Full of Monkeys
______: I volunteer as tribute!,a barren sister
______: It even makes its own gravy!,A baseball bat vasectomy.
"______: it just keeps going, and going, and going…",A basement dweller.
______: it's magically delicious.,A basic bitch.
______: it's more likely than you think.,A basic white girl.
______: It's not just for breakfast anymore.,A basket of deplorables.
______: it's what Academy grads do best!,A basketball that screams every time it gets bounced.
______: Just another way that God shows us he loves us.,A bass drop so huge it tears the starry vault asunder to reveal the face of God.
______: Just girly things.,A bathroom only for poop.
______: Just sayin'.,A bathtub full of cottage cheese
______: Keep out of reach of children.,A bathtub full of Jared from Subway's lost fat that he used as lube with underage girls. (I'm sorry.)
"______: kid tested, mother approved.",A batshit racist butler.
"______: kid-tested, mother-approved.",A battle to the death.
______: Man's final frontier.,A BBW woman wearing the Confederate Flag as a dress.
"______: melts in my mouth, not in my hands.",A beached whale.
______: My body is ready.,A bear.
______: not even once.,A beard longer than 12 inches.
______: Not just for kids anymore!,A beard of pubes glued to your face.
"______: not only, like, super gross? But like, from a feminist standpoint? Totallyproblematic.",A bearded clam.
"______: Once you pop, the fun don't stop!",A bearded lady.
______: Provided by the management for your protection.,A bearskin rug
______: The best part of waking up.,"A beautiful, ever-expanding circle of inclusivity that will never include Republicans."
______: The Best! Day! Ever!,A beautifully enlarged prostate.
______: the hit Catholic musical.,A beautifully plagiarized Inauguration Cake.
______: the national sport of Africa.,A bed bug-infested rack.
______: the new and improved way to compel compliance.,"a bed, a hammock, a hearse, a sentry box, a pulpit, a coach, or any other of those small and snug contrivances in which men temporarily isolate themselves"
______: the secret weapon of the E-3 Mafia.,A beer bottle
______: The struggle is real.,a beer snob
______: Wake up sheeple!,A belly full of hard-boiled eggs.
______: Weak and ineffective.,A Benedict Cumberbatch RealDoll™.
______: Your ideas are intriguing to me and I wish to subscribe to your newsletter.,A benevolent robot babysitter
______! the SecAF exclaimed ass he shape-shifted into a lizard person and scurried through the Pentagon.,A Bengay handjob.
______!? NOT TODAY!,A Benghazi-themed costume party.
"______?

That's what she said.",A bent coat hanger
______? Even I wouldn't go there.,A bi-sexual woman learning blowjob technique from a gay man.
______? Jim'll fix it!,A big black dick strapped to a frail white body.
______? Oh yeah. There's porn about that.,A big black dick.
"______? Really?! Holy Shit, Russia!",A big black dildo.
______? Thanks Obama.,A Big Bottle of Lube
______? That's a dealbreaker.,A big brain full of facts and sadness.
"______? That's a no from me, dawg.",a big bush
______? There's an app for that!,A big empty plane with no seats and a bucket to shit in.
______? There's an app for that.,A big fat OPSEC fail.
______? Totally overrated.,a big fat shit
______? What a wonderful idea!,A big glass of wine.
"______? Yeah, nah.",A big hole.
"______.  60% of the time, it works every time.",A big hoopla about nothing.
______.  Because prevention is better than cure.,A big hot fire that's burning everybody.
______.  Because size matters.,A big night in Greymouth with Hopeful Christian
______.  It's what your right arm's for.,A big ol’ plate of fettuccini alfredo.
______.  Man's best friend.,A big one on the turps
______.  Nature's birth control.,A big sad dragon with no friends.
______.  What's not to like?,A big-ass knife
______. — You go Girl!,"A big, and I mean BIG turle."
______. #squadgoals,"A big, beautiful mouth packed to the brim with sparkling white teeth."
______. #whitepeopleproblems,"A big, big, big, and I mean BIG big."
______. A metaphor for life.,"A big, fat, hairy, homosexual man."
"______. Awesome in theory, kind of a mess in practice.","A big, red wet-looking zit on your nose."
______. Betcha can't have just one!,"A big, sloppy blowjob from a mean, tired cowboy."
"______. GODDAMN IT, JAPAN!",A bigger bang for your buck.
"______. High five, bro.","A bigger, blacker dick."
______. I dare you…,"A bigger, blacker knitting bag."
______. Is my way of giving back to the community.,A billion different uniforms and accessories.
______. Is that some kind of euphemism?,A bingo hall brawl.
______. is what I love most about my body.,A bird pooping on the president's head.
______. It just tastes better.,A bird that dies.
______. It's a trap!,A bird that shits human turds.
______. It's what's for dinner.,a bird's nest in its crotch
______. Just another reason why you can't trust adults.,A birther lawsuit.
______. MILLIONS ARE DEAD!,A bit o' the ol' slap and tickle.
______. No homo.,A bit of a dag
______. Now 100% Gluten Free!,A bit of slap and tickle.
______. Part of a balanced breakfast.,
______. Sounds like something Cartman would like.,a bitch slap
"______. Strong enough for a man, meant for a woman.","A bitch-slap for that bitch, Susan"
"______. Tastes awful, but it works!",A bitchin' Camaro.
______. That is my life goal.,A Bitchplosion
______. That was so metal.,"A bitchy, stuck-up officer's wife."
______. That's a deal breaker.,A bizarre love octagon.
______. That's an HR incident.,A bizarre partnership with Cards Against Humanity.
______. That's how I met your mother.,A black fly in your chardonnay.
______. That's how I want to die.,A black friend.
______. That's why mums go to Iceland.,A black guy in a white neighborhood.
______. The best way to spice up your sex life.,A black hole
______. The first time is never the best.,A black hole.
______. There were no survivors.,A Black Lives Matter protestor.
______. There's a fetish for that.,"A black male in his early 20s, last seen wearing a hoodie."
______. This is the one thing we didn't want to happen.,A black man in a cowboy hat.
______. What's the worst that can happen?,A black-owned and operated business.
"______. Yeah, I'll blame that on the dog.","A black, mushy banana"
______'s biggest guilty pleasure is to curl up in bed with ______.,"a black!
and crazy!"
______is all the same to me.,A blanket with a hole in it.
"______is/are known to make ""Insert Name"" extra horny.",a blatant act of kindness
_____: Evidence that this is the darkest timeline.,A bleached arsehole.
_____: It even makes it's own gravy!,A bleached asshole.
_____: My body is ready.,A bleeding asshole.
_____: the best thing since slices bread.,A blimp advertising hair regrowth
_____: The struggle is real.,A blind kid throwing hand grenades.
_____: Wake up sheeple!,A blind lip reader
_____! All alone in the moonlight!,"A blind, quadriplegic AIDS survivor with face cancer and diarrhea."
_____?  I thought you meant _____!  That explains why everyone is staring.,A blinged out consecration bracelet.
_____?  I'd rather have _____.,A bloated corpse with a great tan.
_____? Looks like them Duke Boys are at it again.,A block of cheese wearing sunglasses.
_____? Title of your sex tape.,A block of government cheese
_____. A woman's best friend.,"A blood transfusion from a teen with at least 10,000 Instagram followers."
_____. The breakfast of champions.,A blood-soaked onesie
_____. The happiest place on earth.,A bloodthirsty Arab.
_____. The reason I cry myself to sleep at night.,a bloody battle in Affghanistan
_____. The taste of paradise.,A bloody creature popping through your sternum Alien style
_____. You complete me.,A bloody heap of Trump steaks.
"____, best describes me.",A bloody pacifier.
____: How far I'll go for free food.,"A blow job from Shark Girl, with teeth."
____: How I plan to spend my nights when I'm rich.,A blow job whilst driving
"____: the part of your body, you like touched first.","A blow-up sex doll that really likes you, but just wants to be friends."
____: The reason that girl was a real crowd pleaser.,a blowjob so powerful that you black out from low oxygen in your brain
____. Coming soon to a cinema near you,A blue powerade for the morning after
____. Sounded like a good idea at the time,A blue waffle.
____. The easiest way into a girl's pants,a blumpkin
____. The only thing scarring people more than London acid attacks,A blumpkin.
___: good to the last drop.,A Boatswain's punch.
"___: Kid-tested, mother approved.",a bobble head
___? There's an app for that.,"a boil,
a plague-sore,
an embossed carbuncle"
"___. Awesome, bro!",A bold red lip.
___. Bet you can't have just one!,A BOLO list identifying 45 white Toyota® pickup trucks.
"___. High five, bro.","a bolt of nothing, shot at nothing"
___. It's a trap!,A bomb that will go off at any second.
___. That's how I want to die.,A bombshell
"""______ Spice"" was one of the lesser-known Spice Girls.",A bond stronger than the bromance between Seth Rogan and James Franco.
"""______: The Movie!"" Coming to theaters soon.",A boner in tight pants.
"""I want you for ______!""

-- Uncle Sam",A bong rip so massive it restores justice to the kingdom.
"""Insert Name's"" aptitude tst shows he/she is either suited to be a Doctor or ______.",A boo-boo.
"""Insert Name's"" bar serves a world famous drink called ______ on the beach.",A boomtown whore.
"""Insert Name's"" best pick up line involves ______ and a hot dog.",A bootpack filled with stupid ass boot stuff.
"""Insert Name's"" class trip was completely ruined by ______.",A booty call
"""Insert Name's"" family moonshine recipe combines sugar with ______, to make it go down smooth.",A Bop It™.
"""Insert Name's"" favourite board game is ______opoly.",A boring educational video game
"""Insert Name's"" forecast for this weekend is a whole lot of ______.",a boring fuck who should go away
"""Insert Name's"" grandmother always included carrots, onions and ______ in her famous soup.",a bosom friend
"""Insert Name's"" mother doesn't approve of his/her new hobby because it involves collecting ______ and then setting them on fire.",A botched boob job
"""Insert Name's"" new reality show is called ""It's All About ______, A Look At My Life.""",a botched Botox injection
"""Insert Name's"" partner always had lame excuses not to try ______ in the sack.",A botched circumcision.
